issue,table,column,leaf_role,question_concept_id,source_question_concept_id,secondary_source_concept_id,dict_secondary_sources,version_tag,loop_number,nonconforming_tokens
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_259744087,question,259744087,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_404389800,question,404389800,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_463302301,question,463302301,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_523660949,question,523660949,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_762727133,question,762727133,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_877842367,question,877842367,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_886771318,question,886771318,406270109,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_406270109_d_950773275,question,950773275,406270109,826163434,Mouthwash;Mouthwash,,,
concept_absent_from_dictionary,bioSurvey,d_470484596_d_214414872,other,214414872,470484596,826163434,,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_479143504_d_165596977,question,165596977,479143504,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_479143504_d_184513726,question,184513726,479143504,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_479143504_d_203919683,question,203919683,479143504,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_479143504_d_390351864,question,390351864,479143504,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_479143504_d_578402172,question,578402172,479143504,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_479143504_d_807884576,question,807884576,479143504,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_104430631,question,104430631,542661394,826163434,2024 Connect Experience Survey;Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_167336253,question,167336253,542661394,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_178420302,question,178420302,542661394,826163434,"2024 Connect Experience Survey;Background and Overall Health;COVID-19 (Post-Pandemic);Cancer Screening History;Medications, Reproductive Health, Exercise, and Sleep;Mouthwash;Mouthwash;Smoking, Alcohol, and Sun Exposure;Where You Live and Work",,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_181769837,question,181769837,542661394,826163434,"Medications, Reproductive Health, Exercise, and Sleep;Mouthwash;Mouthwash;Smoking, Alcohol, and Sun Exposure",,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_215662651,question,215662651,542661394,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_329536041,question,329536041,542661394,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_365685000,question,365685000,542661394,826163434,Mouthwash;Mouthwash,,,
concept_absent_from_dictionary,bioSurvey,d_542661394_d_371726159,other,371726159,542661394,826163434,,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_542661394_d_656498939,question,656498939,542661394,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_104430631,question,104430631,899251483,826163434,2024 Connect Experience Survey;Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_104430631_v2,question,104430631,899251483,826163434,2024 Connect Experience Survey;Mouthwash;Mouthwash,_v2,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_452438775,question,452438775,899251483,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_452438775_v2,question,452438775,899251483,826163434,Mouthwash;Mouthwash,_v2,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_551489317_v2,question,551489317,899251483,826163434,Mouthwash,_v2,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_812107266,question,812107266,899251483,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_812107266_v2,question,812107266,899251483,826163434,Mouthwash;Mouthwash,_v2,,
bio_survey_mapping_unconfirmed,bioSurvey,d_899251483_d_886864375_v2,question,886864375,899251483,826163434,Mouthwash;Mouthwash,_v2,,
bio_survey_mapping_unconfirmed,bioSurvey,d_205713835,question,205713835,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_227848247,question,227848247,,826163434,Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_294886836,question,294886836,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_318641324,question,318641324,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_339570897,question,339570897,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_349659426,question,349659426,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_350251057,question,350251057,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_353467497,question,353467497,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_360678252,question,360678252,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_429994023,question,429994023,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_430060900,question,430060900,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_460873842,question,460873842,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_498984275,question,498984275,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_499977481,question,499977481,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_520416570,question,520416570,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_526973271,question,526973271,,826163434,Mouthwash;Mouthwash,,,
bio_survey_mapping_unconfirmed,bioSurvey,d_642044281,question,642044281,,826163434,Mouthwash;Mouthwash,,,
source_question_level_column,bioSurvey,d_715581797_1_v2,source_question,,715581797,826163434,,_v2,1,
source_question_level_column,bioSurvey,d_715581797_2_v2,source_question,,715581797,826163434,,_v2,2,
