current_source_question_concept_id,source_question_text,v1_source_question,grid_source_question_name
238268405,Select Package Condition - Site Shipment,,
740819233,What is the primary site of the cancer diagnosed on 'date of case ID'?,,
525535977,Asian- Which of these describes you best? Select all that apply.,,
110652436,How old were you when a doctor or other health professional first told you that you have had a stroke?,,
409622468,How old were you when a doctor or other health professional first told you that you have or had Barrett's Esophagus?,,
624777141,How old were you when a doctor or other health professional first told you that you have or had Celiac Disease?,,
543728565,Systemic and Other Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,
530548878,How old were you when a doctor or other health professional first told you that you have or had Shingles (Herpes Zoster) ?,,
922524563,How old were you when a doctor or other health professional first told you that you have or had Genital Warts?,,
423547108,How old were you when a doctor or other health professional first told you that you have or had endometriosis?,,
852898339,How old were you when a doctor or other health professional first told you that you have or had polycystic ovary syndrome (PCOS)?,,
367884741,How old were you when you had your tonsils removed (tonsillectomy)?,,
552788665,How old were you when you had your thyroid removed (thyroidectomy)?,,
287605131,How old were you when you had breast reduction surgery (reduction mammaplasty)?,,
891214661,How old were you when you had other breast surgery?,,
150352141,How old were you when you had your uterus removed (hysterectomy)?,,
527057404,How old were you when you had your penis removed (penectomy)?,,
593017220,How old were you when you had your last blood transfusion?,,
528753070,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had bladder cancer?,,
625249910,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Stomach cancer?,,
838564850,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Thyroid cancer?,,
654594205,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had esophageal cancer?,,
158409298,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had Leukemia (blood and bone marrow) cancer?,,
682651189,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had Ovarian cancer?,,
990114799,Sibling 1 - How old was your [SIBLING INITIALS OR NICKNAME/YOUR SIBLING] when they were first told by a doctor or other health professional that they have or had Stomach cancer?,,
845219872,Child 1- How old was your [CHILD INITIALS OR NICKNAME/YOUR CHILD] when they were first told by a doctor or other health professional that they have or had cancer?,,
367803647,What is the highest level of school that you have completed? - SOURCE,,
530742915,What type of business was this at your longest held job? [Select all that apply.],,
893965588,Pills per day Celebrex (celecoxib) - SOURCE,,
901498441,Pills per day anti-hypertensive medication/drugs used to treat hypertension (high blood pressure) - SOURCE,,
745223146,"During the time(s) that you were taking Insulin, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,
266752903,"During the time(s) that you were taking over-the-counter H2 receptor blockers days per week, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",,
263785082,Have you ever taken any of these types of combined estrogen plus progestin prescription hormones? Select all that apply.,,
578176688,"In total, how many months or years have you used combined oral estrogen plus progestin pill?",,
946849196,Which forms of testosterone medication(s) have you taken? Select all that apply.,,
733547268,Frequency of Household or Shopping activities,,
517976064,"During the past 12 months, did you do any of these exercise or recreational activities? Select all that apply.",,
103566006,"What kind of cigar, cigarillo, or little filtered cigar [do/did] you usually use? Select all that apply.",,
378254382,How old were you when you started smoking a combination of cannabis with tobacco on a regular basis? - SOURCE,,
742254559,How old were you when you started dabbing THC concentrates on a regular basis? - SOURCE,,
