primary_source_concept_id,primary_source,secondary_source_concept_id,secondary_source,current_source_question_concept_id,source_question_text,grid_source_question_name,question_concept_id,current_question_text,question_type,response_concept_id,current_format_value
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,393920480,I don't want to be seen as somebody who makes a fuss.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,393920480,I don't want to be seen as somebody who makes a fuss.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,393920480,I don't want to be seen as somebody who makes a fuss.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,393920480,I don't want to be seen as somebody who makes a fuss.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,393920480,I don't want to be seen as somebody who makes a fuss.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,502004518,I would be worried a doctor wouldn't take my symptoms seriously.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,502004518,I would be worried a doctor wouldn't take my symptoms seriously.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,502004518,I would be worried a doctor wouldn't take my symptoms seriously.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,502004518,I would be worried a doctor wouldn't take my symptoms seriously.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,502004518,I would be worried a doctor wouldn't take my symptoms seriously.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,743064729,I have had a bad experience at the doctors in the past.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,743064729,I have had a bad experience at the doctors in the past.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,743064729,I have had a bad experience at the doctors in the past.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,743064729,I have had a bad experience at the doctors in the past.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,743064729,I have had a bad experience at the doctors in the past.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,835801470,I don't like having to talk to the receptionist about my symptoms.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,835801470,I don't like having to talk to the receptionist about my symptoms.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,835801470,I don't like having to talk to the receptionist about my symptoms.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,835801470,I don't like having to talk to the receptionist about my symptoms.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,351135983,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6C,,835801470,I don't like having to talk to the receptionist about my symptoms.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,203400623,I was too busy to make time to go to a doctor.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,203400623,I was too busy to make time to go to a doctor.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,203400623,I was too busy to make time to go to a doctor.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,203400623,I was too busy to make time to go to a doctor.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,203400623,I was too busy to make time to go to a doctor.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,366239843,I had too many other things to worry about.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,366239843,I had too many other things to worry about.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,366239843,I had too many other things to worry about.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,366239843,I had too many other things to worry about.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,366239843,I had too many other things to worry about.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,424798529,I find it difficult to get an appointment with a doctor at a convenient time.,,147016867,4 = Strongly disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,424798529,I find it difficult to get an appointment with a doctor at a convenient time.,,294020322,2 = Neither agree nor disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,424798529,I find it difficult to get an appointment with a doctor at a convenient time.,,760340155,0 = Strongly agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,424798529,I find it difficult to get an appointment with a doctor at a convenient time.,,847965227,1 = Agree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,424798529,I find it difficult to get an appointment with a doctor at a convenient time.,,924690260,3 = Disagree
129084651,Survey,110511396,Cancer Site Specific Questionnaire DRAFT QUESTION TYPE,396637804,Could you say if any of these reasons might have caused you to delay going to see a doctor or healthcare provider for your symptoms? Select an answer for each statement. PROV6B,,579902103,I would be worried about what tests they might want to do.,,147016867,4 = Strongly disagree
