layer,table,column,n_concepts,concept_ids,loop_number,version_tag,nonconforming_tokens,primary_source_concept_id,secondary_source_concept_id,source_question_concept_id,question_concept_id,response_concept_id,leaf_role,question_in_dict,secondary_source_match
CleanConnect,bioSurvey,d_406270109_d_259744087,2,406270109;259744087,,,,129084651,826163434,406270109,259744087,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_404389800,2,406270109;404389800,,,,129084651,826163434,406270109,404389800,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_463302301,2,406270109;463302301,,,,129084651,826163434,406270109,463302301,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_523660949,2,406270109;523660949,,,,129084651,826163434,406270109,523660949,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_762727133,2,406270109;762727133,,,,129084651,826163434,406270109,762727133,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_877842367,2,406270109;877842367,,,,129084651,826163434,406270109,877842367,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_886771318,2,406270109;886771318,,,,129084651,826163434,406270109,886771318,,question,Y,N
CleanConnect,bioSurvey,d_406270109_d_950773275,2,406270109;950773275,,,,129084651,826163434,406270109,950773275,,question,Y,N
CleanConnect,bioSurvey,d_470484596_d_214414872,2,470484596;214414872,,,,129084651,826163434,470484596,214414872,,other,N,N
CleanConnect,bioSurvey,d_470484596_d_235386560,2,470484596;235386560,,,,129084651,826163434,470484596,235386560,,question,Y,Y
CleanConnect,bioSurvey,d_470484596_d_406943303,2,470484596;406943303,,,,129084651,826163434,470484596,406943303,,question,Y,Y
CleanConnect,bioSurvey,d_470484596_d_535003378,2,470484596;535003378,,,,129084651,826163434,470484596,535003378,,question,Y,Y
CleanConnect,bioSurvey,d_470484596_d_756774083,2,470484596;756774083,,,,129084651,826163434,470484596,756774083,,question,Y,Y
CleanConnect,bioSurvey,d_470484596_d_811126581,2,470484596;811126581,,,,129084651,826163434,470484596,811126581,,question,Y,Y
CleanConnect,bioSurvey,d_470484596_d_955154600,2,470484596;955154600,,,,129084651,826163434,470484596,955154600,,question,Y,Y
CleanConnect,bioSurvey,d_479143504_d_165596977,2,479143504;165596977,,,,129084651,826163434,479143504,165596977,,question,Y,N
CleanConnect,bioSurvey,d_479143504_d_184513726,2,479143504;184513726,,,,129084651,826163434,479143504,184513726,,question,Y,N
CleanConnect,bioSurvey,d_479143504_d_203919683,2,479143504;203919683,,,,129084651,826163434,479143504,203919683,,question,Y,N
CleanConnect,bioSurvey,d_479143504_d_390351864,2,479143504;390351864,,,,129084651,826163434,479143504,390351864,,question,Y,N
CleanConnect,bioSurvey,d_479143504_d_578402172,2,479143504;578402172,,,,129084651,826163434,479143504,578402172,,question,Y,N
CleanConnect,bioSurvey,d_479143504_d_807884576,2,479143504;807884576,,,,129084651,826163434,479143504,807884576,,question,Y,N
CleanConnect,bioSurvey,d_542661394_d_104430631,2,542661394;104430631,,,,129084651,826163434,542661394,104430631,,question,Y,N
CleanConnect,bioSurvey,d_542661394_d_167336253,2,542661394;167336253,,,,129084651,826163434,542661394,167336253,,question,Y,N
CleanConnect,bioSurvey,d_542661394_d_178420302,2,542661394;178420302,,,,129084651,826163434,542661394,178420302,,question,Y,N
CleanConnect,bioSurvey,d_542661394_d_181769837,2,542661394;181769837,,,,129084651,826163434,542661394,181769837,,question,Y,N
CleanConnect,bioSurvey,d_542661394_d_215662651,2,542661394;215662651,,,,129084651,826163434,542661394,215662651,,question,Y,N
CleanConnect,bioSurvey,d_542661394_d_329536041,2,542661394;329536041,,,,129084651,826163434,542661394,329536041,,question,Y,N
